# Step Price Price_Change_Pct Simple_PnL Avellaneda_PnL Envelope_PnL
41 179.879332 -0.07 -0.00 0.00 -0.00
42 179.817362 -0.10 -0.00 0.00 -0.00
43 179.858757 -0.08 -0.00 0.00 -0.00
44 179.832637 -0.09 -0.00 0.00 -0.00
45 179.851453 -0.08 -0.00 0.00 -0.00
46 179.878918 -0.07 -0.00 0.00 -0.00
47 179.887959 -0.06 -0.00 0.00 -0.00
48 179.856267 -0.08 -0.00 0.00 -0.00
49 179.812978 -0.10 -0.00 0.00 -0.00
50 179.767310 -0.13 -0.00 0.00 -0.01
51 179.749843 -0.14 -0.00 0.00 -0.01
52 179.765232 -0.13 -0.00 0.00 -0.01
53 179.795266 -0.11 -0.00 0.00 -0.01
54 179.816604 -0.10 -0.00 0.00 -0.00
55 179.803480 -0.11 -0.00 0.00 -0.01
56 179.845171 -0.09 -0.00 0.00 -0.00
57 179.837128 -0.09 -0.00 0.00 -0.00
58 179.843099 -0.09 -0.00 0.00 -0.00
59 179.854368 -0.08 -0.00 0.00 -0.00
60 179.835619 -0.09 -0.00 0.00 -0.00
61 179.802249 -0.11 -0.00 0.00 -0.01
62 179.804575 -0.11 -0.00 0.00 -0.01
63 179.762520 -0.13 -0.00 0.00 -0.01
64 179.742707 -0.14 -0.00 0.00 -0.01
65 179.717849 -0.16 -0.00 0.00 -0.01
66 179.712443 -0.16 -0.00 0.00 -0.01
67 179.718729 -0.16 -0.00 0.00 -0.01
68 179.708837 -0.16 -0.00 0.00 -0.01
69 179.646022 -0.20 -0.01 0.00 -0.02
70 179.600613 -0.22 -0.01 0.00 -0.03
71 179.605677 -0.22 -0.01 0.00 -0.03
72 179.573407 -0.24 -0.01 0.00 -0.04
73 179.561600 -0.24 -0.01 0.00 -0.04
74 179.546567 -0.25 -0.02 0.00 -0.04
75 179.538151 -0.26 -0.02 0.00 -0.04
76 179.479495 -0.29 -0.02 0.00 -0.06
77 179.457795 -0.30 -0.02 0.00 -0.06
78 179.500846 -0.28 -0.02 0.00 -0.05
79 179.457932 -0.30 -0.02 0.00 -0.06
80 179.434052 -0.31 -0.02 0.00 -0.07
81 179.429980 -0.32 -0.02 -0.00 -0.07
82 179.429253 -0.32 -0.02 -0.00 -0.07
83 179.414960 -0.33 -0.03 -0.00 -0.08
84 179.433779 -0.31 -0.02 -0.00 -0.07
85 179.413313 -0.33 -0.03 -0.00 -0.08
86 179.415718 -0.32 -0.03 -0.00 -0.08
87 179.347417 -0.36 -0.03 -0.00 -0.10
88 179.335557 -0.37 -0.03 -0.00 -0.10
89 179.341039 -0.37 -0.03 -0.00 -0.10
90 179.327444 -0.37 -0.03 -0.00 -0.10
91 179.346733 -0.36 -0.03 -0.00 -0.10
92 179.431699 -0.32 -0.02 -0.00 -0.07
93 179.424358 -0.32 -0.02 -0.00 -0.08
94 179.445532 -0.31 -0.02 0.00 -0.07
95 179.459278 -0.30 -0.02 0.00 -0.07
96 179.447513 -0.31 -0.02 0.00 -0.07
97 179.470603 -0.29 -0.02 0.00 -0.06
98 179.431113 -0.32 -0.02 -0.00 -0.07
99 179.396909 -0.34 -0.03 -0.00 -0.08
100 179.458930 -0.30 -0.02 0.00 -0.07
101 179.450898 -0.31 -0.02 0.00 -0.07
102 179.477039 -0.29 -0.02 0.00 -0.06
103 179.503865 -0.28 -0.02 0.00 -0.05
104 179.468306 -0.30 -0.02 0.00 -0.06
105 179.451018 -0.30 -0.02 0.00 -0.07
106 179.376949 -0.35 -0.03 -0.00 -0.09
107 179.327902 -0.37 -0.03 -0.00 -0.10
108 179.336210 -0.37 -0.03 -0.00 -0.10
109 179.300686 -0.39 -0.03 -0.00 -0.11
110 179.261060 -0.41 -0.04 -0.00 -0.13
111 179.259595 -0.41 -0.04 -0.00 -0.13
112 179.289210 -0.39 -0.04 -0.00 -0.12
113 179.282998 -0.40 -0.04 -0.00 -0.12
114 179.275996 -0.40 -0.04 -0.00 -0.12
115 179.296519 -0.39 -0.04 -0.00 -0.11
116 179.277441 -0.40 -0.04 -0.00 -0.12
117 179.307439 -0.38 -0.03 -0.00 -0.11
118 179.289650 -0.39 -0.04 -0.00 -0.12
119 179.302981 -0.39 -0.03 -0.00 -0.11
120 179.329114 -0.37 -0.03 -0.00 -0.10
121 179.298285 -0.39 -0.04 -0.00 -0.11
122 179.320405 -0.38 -0.03 -0.00 -0.11
123 179.287923 -0.40 -0.04 -0.00 -0.12
124 179.268173 -0.41 -0.04 -0.00 -0.12
125 179.216521 -0.44 -0.04 -0.01 -0.14
126 179.182177 -0.45 -0.05 -0.01 -0.16
127 179.149093 -0.47 -0.05 -0.01 -0.17
128 179.141896 -0.48 -0.05 -0.01 -0.17
129 179.170186 -0.46 -0.05 -0.01 -0.16
130 179.135900 -0.48 -0.05 -0.01 -0.17
131 179.127392 -0.48 -0.05 -0.01 -0.18
132 179.136059 -0.48 -0.05 -0.01 -0.17
133 179.146254 -0.47 -0.05 -0.01 -0.17
134 179.151677 -0.47 -0.05 -0.01 -0.17
135 179.116695 -0.49 -0.06 -0.01 -0.18
136 179.191497 -0.45 -0.05 -0.01 -0.15
137 179.239019 -0.42 -0.04 -0.01 -0.13
138 179.267719 -0.41 -0.04 -0.00 -0.12
139 179.274642 -0.40 -0.04 -0.00 -0.12
140 179.258488 -0.41 -0.04 -0.00 -0.13
141 179.282871 -0.40 -0.04 -0.00 -0.12
142 179.269865 -0.41 -0.04 -0.00 -0.12
143 179.287615 -0.40 -0.04 -0.00 -0.12
144 179.294541 -0.39 -0.03 -0.00 -0.11
145 179.296075 -0.39 -0.03 -0.00 -0.11
146 179.246925 -0.42 -0.04 -0.01 -0.13
147 179.259599 -0.41 -0.04 -0.00 -0.13
148 179.204083 -0.44 -0.05 -0.01 -0.15
149 179.215828 -0.44 -0.04 -0.01 -0.14
150 179.266486 -0.41 -0.04 -0.00 -0.12
151 179.213429 -0.44 -0.04 -0.01 -0.14
152 179.264620 -0.41 -0.04 -0.00 -0.12
153 179.248674 -0.42 -0.04 -0.00 -0.13
154 179.208984 -0.44 -0.04 -0.01 -0.15
155 179.206304 -0.44 -0.04 -0.01 -0.15
156 179.195475 -0.45 -0.05 -0.01 -0.15
157 179.240815 -0.42 -0.04 -0.01 -0.13
158 179.264730 -0.41 -0.04 -0.00 -0.12
159 179.265955 -0.41 -0.04 -0.00 -0.12
160 179.282668 -0.40 -0.04 -0.00 -0.12
161 179.260065 -0.41 -0.04 -0.00 -0.13
162 179.218435 -0.43 -0.04 -0.01 -0.14
163 179.184502 -0.45 -0.05 -0.01 -0.15
164 179.170143 -0.46 -0.05 -0.01 -0.16
165 179.197404 -0.45 -0.05 -0.01 -0.15
166 179.177860 -0.46 -0.05 -0.01 -0.16
167 179.105765 -0.50 -0.06 -0.01 -0.19
168 179.143811 -0.48 -0.05 -0.01 -0.17
169 179.156022 -0.47 -0.05 -0.01 -0.17
170 179.197160 -0.45 -0.05 -0.01 -0.15
171 179.199896 -0.44 -0.05 -0.01 -0.15
172 179.204876 -0.44 -0.04 -0.01 -0.15
173 179.204173 -0.44 -0.04 -0.01 -0.15
174 179.194791 -0.45 -0.05 -0.01 -0.15
175 179.215486 -0.44 -0.04 -0.01 -0.14
176 179.197034 -0.45 -0.05 -0.01 -0.15
177 179.261615 -0.41 -0.04 -0.00 -0.12
178 179.315582 -0.38 -0.03 -0.00 -0.10
179 179.292315 -0.39 -0.03 -0.00 -0.11
180 179.253211 -0.41 -0.04 -0.00 -0.13
181 179.213936 -0.44 -0.04 -0.01 -0.14
182 179.208889 -0.44 -0.04 -0.01 -0.15
183 179.189176 -0.45 -0.05 -0.01 -0.15
184 179.200070 -0.44 -0.05 -0.01 -0.15
185 179.191112 -0.45 -0.05 -0.01 -0.15
186 179.179315 -0.46 -0.05 -0.01 -0.16
187 179.149565 -0.47 -0.05 -0.01 -0.17
188 179.161255 -0.47 -0.05 -0.01 -0.16
189 179.085808 -0.51 -0.06 -0.02 -0.19
190 179.073525 -0.51 -0.06 -0.02 -0.20
191 179.081500 -0.51 -0.06 -0.02 -0.20
192 179.098831 -0.50 -0.06 -0.01 -0.19
193 179.064629 -0.52 -0.06 -0.02 -0.20
194 179.076754 -0.51 -0.06 -0.02 -0.20
195 179.034739 -0.54 -0.07 -0.02 -0.22
196 179.062233 -0.52 -0.06 -0.02 -0.21
197 179.115592 -0.49 -0.06 -0.01 -0.18
198 179.098814 -0.50 -0.06 -0.01 -0.19
199 179.032834 -0.54 -0.07 -0.02 -0.22
200 179.050507 -0.53 -0.07 -0.02 -0.21
201 179.035798 -0.54 -0.07 -0.02 -0.22
202 179.064750 -0.52 -0.06 -0.02 -0.20
203 179.087978 -0.51 -0.06 -0.02 -0.19
204 179.134319 -0.48 -0.05 -0.01 -0.17
205 179.116942 -0.49 -0.06 -0.01 -0.18
206 179.128980 -0.48 -0.05 -0.01 -0.18
207 179.101291 -0.50 -0.06 -0.01 -0.19
208 179.124875 -0.49 -0.05 -0.01 -0.18
209 179.065292 -0.52 -0.06 -0.02 -0.20
210 179.089166 -0.51 -0.06 -0.02 -0.19
211 179.081286 -0.51 -0.06 -0.02 -0.20
212 179.070632 -0.52 -0.06 -0.02 -0.20
213 179.042282 -0.53 -0.07 -0.02 -0.21
214 179.090131 -0.51 -0.06 -0.02 -0.19
215 179.073630 -0.51 -0.06 -0.02 -0.20
216 179.044966 -0.53 -0.07 -0.02 -0.21
217 179.076592 -0.51 -0.06 -0.02 -0.20
218 179.083620 -0.51 -0.06 -0.02 -0.20
219 179.135636 -0.48 -0.05 -0.01 -0.17
220 179.112716 -0.49 -0.06 -0.01 -0.18
221 179.078833 -0.51 -0.06 -0.02 -0.20
222 179.018733 -0.55 -0.07 -0.02 -0.22
223 179.026126 -0.54 -0.07 -0.02 -0.22
224 178.979476 -0.57 -0.08 -0.02 -0.24
225 178.972397 -0.57 -0.08 -0.02 -0.25
226 178.938013 -0.59 -0.09 -0.03 -0.27
227 178.922589 -0.60 -0.09 -0.03 -0.27
228 178.929000 -0.59 -0.09 -0.03 -0.27
229 178.911588 -0.60 -0.09 -0.03 -0.28
230 178.960405 -0.58 -0.08 -0.02 -0.25
231 178.981622 -0.57 -0.08 -0.02 -0.24
232 178.927431 -0.60 -0.09 -0.03 -0.27
233 178.909827 -0.61 -0.09 -0.03 -0.28
234 178.875763 -0.62 -0.10 -0.03 -0.30
235 178.893286 -0.61 -0.10 -0.03 -0.29
236 178.952852 -0.58 -0.09 -0.03 -0.26
237 178.949151 -0.58 -0.09 -0.03 -0.26
238 178.949873 -0.58 -0.09 -0.03 -0.26
239 178.882093 -0.62 -0.10 -0.03 -0.30
240 178.905297 -0.61 -0.10 -0.03 -0.28
241 178.935789 -0.59 -0.09 -0.03 -0.27
242 178.940833 -0.59 -0.09 -0.03 -0.27
243 178.969931 -0.57 -0.08 -0.02 -0.25
244 179.067035 -0.52 -0.06 -0.02 -0.20
245 179.095929 -0.50 -0.06 -0.01 -0.19
246 179.129434 -0.48 -0.05 -0.01 -0.17
247 179.159214 -0.47 -0.04 -0.01 -0.15
248 179.124807 -0.49 -0.05 -0.01 -0.17
249 179.108298 -0.50 -0.05 -0.01 -0.18
250 179.061766 -0.52 -0.06 -0.02 -0.20
251 179.069915 -0.52 -0.06 -0.02 -0.20
252 179.118873 -0.49 -0.05 -0.01 -0.17
253 179.096541 -0.50 -0.06 -0.01 -0.19
254 179.072243 -0.52 -0.06 -0.02 -0.20
255 179.094169 -0.50 -0.06 -0.01 -0.19
256 179.103496 -0.50 -0.05 -0.01 -0.18
257 178.995143 -0.56 -0.08 -0.02 -0.24
258 179.022197 -0.54 -0.07 -0.02 -0.22
259 179.001651 -0.55 -0.07 -0.02 -0.23
260 179.029295 -0.54 -0.07 -0.02 -0.22
261 178.991222 -0.56 -0.08 -0.02 -0.24
262 178.961234 -0.58 -0.08 -0.02 -0.25
263 178.950301 -0.58 -0.08 -0.03 -0.26
264 178.923507 -0.60 -0.09 -0.03 -0.27
265 178.928600 -0.60 -0.09 -0.03 -0.27
266 178.893871 -0.61 -0.10 -0.03 -0.29
267 178.880975 -0.62 -0.10 -0.03 -0.29
268 178.852958 -0.64 -0.11 -0.03 -0.31
269 178.882216 -0.62 -0.10 -0.03 -0.29
270 178.836054 -0.65 -0.11 -0.03 -0.32
271 178.825704 -0.65 -0.11 -0.04 -0.32
272 178.784669 -0.68 -0.12 -0.04 -0.34
273 178.829429 -0.65 -0.11 -0.04 -0.32
274 178.884269 -0.62 -0.10 -0.03 -0.29
275 178.875944 -0.62 -0.10 -0.03 -0.30
276 178.827376 -0.65 -0.11 -0.04 -0.32
277 178.807422 -0.66 -0.12 -0.04 -0.33
278 178.807768 -0.66 -0.12 -0.04 -0.33
279 178.852560 -0.64 -0.11 -0.03 -0.31
280 178.872824 -0.63 -0.10 -0.03 -0.30
281 178.926106 -0.60 -0.09 -0.03 -0.27
282 178.920142 -0.60 -0.09 -0.03 -0.27
283 178.975814 -0.57 -0.08 -0.02 -0.24
284 179.000726 -0.56 -0.07 -0.02 -0.23
285 179.020323 -0.54 -0.07 -0.02 -0.22
286 179.025360 -0.54 -0.07 -0.02 -0.22
287 178.992578 -0.56 -0.08 -0.02 -0.24
288 179.014244 -0.55 -0.07 -0.02 -0.22
289 178.987466 -0.56 -0.08 -0.02 -0.24
290 178.985757 -0.56 -0.08 -0.02 -0.24
291 179.052533 -0.53 -0.06 -0.01 -0.20
292 178.985434 -0.56 -0.08 -0.02 -0.24
293 179.015737 -0.55 -0.07 -0.02 -0.22
294 178.990718 -0.56 -0.08 -0.02 -0.24
295 178.996344 -0.56 -0.07 -0.02 -0.23
296 178.965866 -0.57 -0.08 -0.02 -0.25
297 178.946730 -0.59 -0.08 -0.02 -0.26
298 178.901033 -0.61 -0.09 -0.03 -0.28
299 178.867862 -0.63 -0.10 -0.03 -0.30
300 178.886118 -0.62 -0.10 -0.03 -0.29
301 178.856930 -0.64 -0.10 -0.03 -0.31
302 178.920954 -0.60 -0.09 -0.03 -0.27
303 178.952879 -0.58 -0.08 -0.02 -0.26
304 178.982541 -0.57 -0.08 -0.02 -0.24
305 178.990016 -0.56 -0.08 -0.02 -0.24
306 179.040543 -0.53 -0.06 -0.02 -0.21
307 179.016824 -0.55 -0.07 -0.02 -0.22
308 178.964894 -0.58 -0.08 -0.02 -0.25
309 178.917511 -0.60 -0.09 -0.03 -0.27
310 178.965403 -0.57 -0.08 -0.02 -0.25
311 178.920247 -0.60 -0.09 -0.03 -0.27
312 178.866545 -0.63 -0.10 -0.03 -0.30
313 178.896306 -0.61 -0.10 -0.03 -0.29
314 178.916825 -0.60 -0.09 -0.03 -0.27
315 178.911287 -0.60 -0.09 -0.03 -0.28
316 178.936233 -0.59 -0.09 -0.03 -0.26
317 178.989127 -0.56 -0.08 -0.02 -0.24
318 179.015266 -0.55 -0.07 -0.02 -0.22
319 178.951836 -0.58 -0.08 -0.02 -0.26
320 178.942172 -0.59 -0.09 -0.02 -0.26
321 178.932833 -0.59 -0.09 -0.03 -0.27
322 178.883087 -0.62 -0.10 -0.03 -0.29
323 178.841918 -0.64 -0.11 -0.03 -0.31
324 178.852210 -0.64 -0.11 -0.03 -0.31
325 178.874318 -0.63 -0.10 -0.03 -0.30
326 178.848247 -0.64 -0.11 -0.03 -0.31
327 178.834790 -0.65 -0.11 -0.04 -0.32
328 178.816695 -0.66 -0.11 -0.04 -0.33
329 178.842584 -0.64 -0.11 -0.03 -0.31
330 178.857007 -0.63 -0.10 -0.03 -0.31
331 178.876916 -0.62 -0.10 -0.03 -0.30
332 178.850367 -0.64 -0.11 -0.03 -0.31
333 178.816368 -0.66 -0.11 -0.04 -0.33
334 178.822666 -0.65 -0.11 -0.04 -0.32
335 178.783677 -0.68 -0.12 -0.04 -0.34
336 178.786090 -0.67 -0.12 -0.04 -0.34
337 178.801124 -0.67 -0.12 -0.04 -0.33
338 178.797041 -0.67 -0.12 -0.04 -0.34
339 178.808207 -0.66 -0.12 -0.04 -0.33
340 178.843055 -0.64 -0.11 -0.03 -0.31
341 178.865209 -0.63 -0.10 -0.03 -0.30
342 178.875934 -0.62 -0.10 -0.03 -0.30
343 178.878805 -0.62 -0.10 -0.03 -0.29
344 178.916991 -0.60 -0.09 -0.03 -0.27
345 178.902571 -0.61 -0.09 -0.03 -0.28
346 178.868858 -0.63 -0.10 -0.03 -0.30
347 178.896234 -0.61 -0.10 -0.03 -0.29
348 178.861990 -0.63 -0.10 -0.03 -0.30
349 178.811535 -0.66 -0.12 -0.04 -0.33
350 178.830766 -0.65 -0.11 -0.04 -0.32
351 178.859116 -0.63 -0.10 -0.03 -0.30
352 178.816096 -0.66 -0.11 -0.04 -0.33
353 178.861863 -0.63 -0.10 -0.03 -0.30
354 178.803699 -0.66 -0.12 -0.04 -0.33
355 178.828727 -0.65 -0.11 -0.04 -0.32
356 178.833779 -0.65 -0.11 -0.04 -0.32
357 178.861655 -0.63 -0.10 -0.03 -0.30
358 178.903158 -0.61 -0.09 -0.03 -0.28
359 178.981017 -0.57 -0.08 -0.02 -0.24
360 178.959513 -0.58 -0.08 -0.02 -0.25
361 178.911614 -0.60 -0.09 -0.03 -0.28
362 178.902767 -0.61 -0.09 -0.03 -0.28
363 178.928286 -0.60 -0.09 -0.03 -0.27
364 178.887080 -0.62 -0.10 -0.03 -0.29
365 178.876487 -0.62 -0.10 -0.03 -0.30
366 178.825223 -0.65 -0.11 -0.04 -0.32
367 178.808927 -0.66 -0.12 -0.04 -0.33
368 178.761410 -0.69 -0.13 -0.04 -0.36
369 178.764854 -0.69 -0.13 -0.04 -0.35
370 178.802740 -0.67 -0.12 -0.04 -0.33
371 178.726446 -0.71 -0.14 -0.05 -0.38
372 178.719198 -0.71 -0.14 -0.05 -0.38
373 178.728399 -0.71 -0.14 -0.05 -0.38
374 178.724560 -0.71 -0.14 -0.05 -0.38
375 178.758472 -0.69 -0.13 -0.04 -0.36
376 178.784340 -0.68 -0.12 -0.04 -0.34
377 178.776099 -0.68 -0.12 -0.04 -0.35
378 178.853265 -0.64 -0.10 -0.03 -0.31
379 178.806090 -0.66 -0.12 -0.04 -0.33
380 178.748898 -0.70 -0.13 -0.04 -0.36
381 178.736536 -0.70 -0.14 -0.05 -0.37
382 178.740283 -0.70 -0.13 -0.04 -0.37
383 178.739344 -0.70 -0.13 -0.04 -0.37
384 178.799673 -0.67 -0.12 -0.04 -0.34
385 178.764531 -0.69 -0.13 -0.04 -0.36
386 178.745579 -0.70 -0.13 -0.04 -0.37
387 178.686607 -0.73 -0.15 -0.05 -0.40
388 178.698722 -0.72 -0.15 -0.05 -0.39
389 178.725264 -0.71 -0.14 -0.05 -0.38
390 178.744060 -0.70 -0.13 -0.04 -0.37
391 178.748455 -0.70 -0.13 -0.04 -0.36
392 178.793555 -0.67 -0.12 -0.04 -0.34
393 178.803989 -0.66 -0.12 -0.04 -0.33
394 178.772765 -0.68 -0.13 -0.04 -0.35
395 178.727342 -0.71 -0.14 -0.05 -0.38
396 178.733784 -0.70 -0.14 -0.05 -0.37
397 178.696872 -0.72 -0.15 -0.05 -0.39
398 178.707247 -0.72 -0.14 -0.05 -0.39
399 178.676745 -0.74 -0.15 -0.05 -0.40
400 178.736590 -0.70 -0.14 -0.05 -0.37
401 178.690334 -0.73 -0.15 -0.05 -0.40
402 178.684644 -0.73 -0.15 -0.05 -0.40
403 178.665587 -0.74 -0.16 -0.05 -0.41
404 178.655318 -0.75 -0.16 -0.05 -0.42
405 178.692681 -0.73 -0.15 -0.05 -0.39
406 178.657417 -0.75 -0.16 -0.05 -0.41
407 178.634534 -0.76 -0.17 -0.06 -0.43
408 178.699228 -0.72 -0.15 -0.05 -0.39
409 178.771773 -0.68 -0.12 -0.04 -0.35
410 178.764189 -0.69 -0.13 -0.04 -0.36
411 178.772500 -0.68 -0.12 -0.04 -0.35
412 178.755311 -0.69 -0.13 -0.04 -0.36
413 178.792994 -0.67 -0.12 -0.04 -0.34
414 178.813755 -0.66 -0.11 -0.04 -0.33
415 178.796275 -0.67 -0.12 -0.04 -0.34
416 178.788668 -0.67 -0.12 -0.04 -0.34
417 178.784800 -0.68 -0.12 -0.04 -0.34
418 178.804554 -0.66 -0.11 -0.04 -0.33
419 178.785149 -0.67 -0.12 -0.04 -0.34
420 178.820186 -0.66 -0.11 -0.03 -0.32
421 178.906776 -0.61 -0.08 -0.02 -0.28
422 178.879986 -0.62 -0.09 -0.03 -0.29
423 178.888183 -0.62 -0.09 -0.03 -0.29
424 178.857049 -0.63 -0.10 -0.03 -0.30
425 178.901953 -0.61 -0.09 -0.02 -0.28
426 178.875196 -0.62 -0.09 -0.03 -0.30
427 178.958810 -0.58 -0.07 -0.02 -0.25
428 179.012593 -0.55 -0.06 -0.01 -0.22
429 179.056484 -0.52 -0.05 -0.00 -0.20
430 179.003667 -0.55 -0.06 -0.01 -0.23
431 179.023255 -0.54 -0.05 -0.01 -0.22
432 179.063922 -0.52 -0.05 -0.00 -0.19
433 179.066360 -0.52 -0.04 -0.00 -0.19
434 179.029777 -0.54 -0.05 -0.01 -0.21
435 178.965308 -0.57 -0.07 -0.02 -0.25
436 178.961385 -0.58 -0.07 -0.02 -0.25
437 178.984482 -0.56 -0.06 -0.01 -0.24
438 178.937164 -0.59 -0.08 -0.02 -0.26
439 178.923115 -0.60 -0.08 -0.02 -0.27
440 178.918773 -0.60 -0.08 -0.02 -0.27
441 178.909344 -0.61 -0.08 -0.02 -0.28
442 178.970717 -0.57 -0.07 -0.02 -0.24
443 179.016412 -0.55 -0.06 -0.01 -0.22
444 179.049949 -0.53 -0.05 -0.01 -0.20
445 179.051978 -0.53 -0.05 -0.01 -0.20
446 179.072077 -0.52 -0.04 -0.00 -0.19
447 179.085865 -0.51 -0.04 -0.00 -0.18
448 179.109386 -0.49 -0.04 0.00 -0.17
449 179.146824 -0.47 -0.03 0.01 -0.15
450 179.169616 -0.46 -0.02 0.01 -0.14
451 179.159535 -0.47 -0.03 0.01 -0.15
452 179.187897 -0.45 -0.02 0.01 -0.13
453 179.157390 -0.47 -0.03 0.01 -0.15
454 179.165707 -0.46 -0.03 0.01 -0.14
455 179.193428 -0.45 -0.02 0.01 -0.13
456 179.214848 -0.44 -0.02 0.02 -0.12
457 179.222274 -0.43 -0.02 0.02 -0.11
458 179.256160 -0.41 -0.01 0.02 -0.10
459 179.198082 -0.45 -0.02 0.01 -0.13
460 179.214146 -0.44 -0.02 0.02 -0.12
461 179.144652 -0.48 -0.03 0.01 -0.15
462 179.181370 -0.45 -0.02 0.01 -0.14
463 179.147236 -0.47 -0.03 0.01 -0.15
464 179.175365 -0.46 -0.02 0.01 -0.14
465 179.153738 -0.47 -0.03 0.01 -0.15
466 179.227711 -0.43 -0.02 0.02 -0.11
467 179.196308 -0.45 -0.02 0.01 -0.13
468 179.206137 -0.44 -0.02 0.01 -0.12
469 179.228978 -0.43 -0.02 0.02 -0.11
470 179.247264 -0.42 -0.01 0.02 -0.10
471 179.277819 -0.40 -0.01 0.02 -0.09
472 179.271322 -0.40 -0.01 0.02 -0.09
473 179.302877 -0.39 -0.01 0.03 -0.08
474 179.323330 -0.38 -0.01 0.03 -0.07
475 179.318224 -0.38 -0.01 0.03 -0.07
476 179.335298 -0.37 -0.00 0.03 -0.06
477 179.349524 -0.36 -0.00 0.03 -0.06
478 179.351679 -0.36 -0.00 0.03 -0.06
479 179.387870 -0.34 0.00 0.04 -0.04
480 179.412665 -0.33 0.00 0.04 -0.03
481 179.410820 -0.33 0.00 0.04 -0.03
482 179.399860 -0.33 0.00 0.04 -0.04
483 179.416379 -0.32 0.00 0.04 -0.03
484 179.387488 -0.34 0.00 0.04 -0.04
485 179.427172 -0.32 0.01 0.04 -0.03
486 179.383993 -0.34 0.00 0.03 -0.05
487 179.362867 -0.35 -0.00 0.03 -0.05
488 179.405865 -0.33 0.00 0.04 -0.04
489 179.435344 -0.31 0.01 0.04 -0.03
490 179.400191 -0.33 0.00 0.04 -0.04
491 179.445925 -0.31 0.01 0.04 -0.02
492 179.433696 -0.31 0.01 0.04 -0.03
493 179.428740 -0.32 0.01 0.04 -0.03
494 179.463496 -0.30 0.01 0.04 -0.02
495 179.468464 -0.30 0.01 0.04 -0.01
496 179.483330 -0.29 0.01 0.04 -0.01
497 179.496977 -0.28 0.01 0.04 -0.01
498 179.502194 -0.28 0.01 0.05 -0.00
499 179.542202 -0.25 0.02 0.05 0.01
500 179.454999 -0.30 0.01 0.04 -0.02
501 179.522395 -0.27 0.02 0.05 0.00
502 179.528685 -0.26 0.02 0.05 0.00
503 179.527860 -0.26 0.02 0.05 0.00
504 179.548387 -0.25 0.02 0.05 0.01
505 179.569250 -0.24 0.02 0.05 0.02
506 179.548632 -0.25 0.02 0.05 0.01
507 179.626598 -0.21 0.03 0.05 0.04
508 179.606596 -0.22 0.03 0.05 0.03
509 179.587148 -0.23 0.02 0.05 0.02
510 179.508991 -0.27 0.01 0.05 -0.00
511 179.518197 -0.27 0.02 0.05 0.00
512 179.538796 -0.26 0.02 0.05 0.01
513 179.517346 -0.27 0.02 0.05 -0.00
514 179.525291 -0.26 0.02 0.05 0.00
515 179.529358 -0.26 0.02 0.05 0.00
516 179.527067 -0.26 0.02 0.05 0.00
517 179.570043 -0.24 0.02 0.05 0.02
518 179.558203 -0.25 0.02 0.05 0.01
519 179.576235 -0.24 0.02 0.05 0.02
520 179.602001 -0.22 0.03 0.05 0.03
521 179.586420 -0.23 0.02 0.05 0.02
522 179.545457 -0.25 0.02 0.05 0.01
523 179.557200 -0.25 0.02 0.05 0.01
524 179.540799 -0.26 0.02 0.05 0.01
525 179.502184 -0.28 0.01 0.04 -0.01
